Pulley Type,Alignment,Belt Tension (N),Belt Width(mm),Lagging Type,Temperature (Environment) C,Temperature (pulley) C,Vibrations (mm/s),Oil Contamination,Foreign Residue,Humidity ,Belt Length(feet),Time since last service(days),Inspection Checks (Cracks),Inspection Checks(Lagging),Number of Grooves,Response
4,3,7433,1800,5,32.86,41,3.9,4,2,0.3,5000,10,2,1,6,1
5,5,2370,1600,4,49.94,61,1.5,2,1,0.8,5000,9,2,1,6,1
7,1,3183,1500,1,42.25,53,3.7,4,4,0.7,3000,27,2,2,6,1
1,0,10353,1900,3,42.9,35,3.4,2,3,0.8,3000,8,1,1,8,1
7,1,14136,1700,5,38.97,49,5,3,3,0.8,5000,33,3,3,8,0
5,1,4622,1500,4,31.59,28,2.7,3,1,0.5,1500,4,1,1,10,0
4,3,18357,1900,2,47.38,62,2.2,2,4,0.5,8000,5,1,1,6,1
3,5,13231,1800,1,31.72,46,2.8,1,4,0.4,5000,15,2,2,8,1
3,3,5781,1600,5,45.04,63,4.5,2,4,0.8,3000,4,2,2,10,1
3,1,11022,1900,1,48.95,62,3.8,4,1,0.6,1500,20,2,2,6,1
7,4,14849,1800,4,30.78,30,1.9,4,2,0.5,1500,9,1,1,6,1
6,0,3707,1400,1,45.81,64,1.5,1,4,0.9,3000,23,2,2,8,1
6,2,4304,1500,1,33.12,30,4.4,4,3,0.7,3000,16,1,2,8,1
1,4,1599,1200,2,31.14,32,4.3,2,2,0.9,6000,3,1,2,6,0
1,0,19239,1800,5,38.67,39,2.7,1,3,0.6,1500,2,1,2,6,1
5,3,10934,1900,5,32.36,39,3,4,1,0.8,5000,34,3,3,10,1
4,1,18203,1700,1,49.24,69,4,2,4,0.5,5000,5,1,2,8,1
5,4,12041,1900,3,36.17,45,2.3,3,1,0.3,6000,8,2,1,6,0
3,1,11867,1800,3,45.56,64,1.3,4,1,0.7,1500,31,3,3,8,1
4,5,10584,1800,5,49.42,63,4.6,1,4,0.5,6000,28,1,2,6,1
3,4,2642,1500,5,42.37,46,2.8,4,2,0.4,6000,4,1,2,10,1
1,6,10785,1800,1,40.8,46,2.5,4,2,0.5,1500,4,2,2,8,1
1,4,7119,1800,3,36.39,37,1.3,3,4,0.5,6000,38,3,3,12,1
7,3,3429,1600,5,34.29,49,3.7,3,3,0.6,3000,15,1,2,8,0
4,5,11073,1900,1,35.12,42,1.4,2,1,0.8,1500,10,1,2,10,0
5,6,14210,1800,4,41.06,43,1.4,2,1,0.8,3000,6,1,1,6,1
6,2,2302,1600,4,38.62,49,4,3,4,0.5,3000,20,1,2,8,1
7,3,16380,1700,1,37.12,50,4.1,4,3,0.8,3000,20,2,1,8,1
5,1,21505,1700,5,30.38,38,2.1,3,3,0.3,8000,24,2,1,8,1
4,0,4456,1500,3,42.84,37,1.1,1,3,0.4,6000,4,2,2,8,0
1,3,4549,1900,4,33.81,37,2.1,1,2,0.8,3000,3,1,2,8,0
1,1,11330,1800,3,39.93,54,3.5,1,3,0.3,5000,1,1,2,12,1
7,3,13993,1800,2,33.33,26,1.9,1,3,0.7,3000,9,2,1,8,0
6,4,2261,1600,5,39.15,45,2.8,3,3,0.3,3000,48,1,3,6,0
6,0,2093,1600,3,39.43,42,2.1,3,1,0.7,3000,3,2,1,12,0
6,2,2313,1500,4,41.4,47,2.4,4,3,0.7,3000,27,2,1,10,1
6,1,3387,1600,2,47.26,66,3.9,1,4,0.9,3000,23,2,1,10,1
1,0,4738,1600,2,43.84,53,4.7,2,2,0.7,1500,4,2,2,12,0
6,5,2633,1400,1,47.27,65,3.5,4,1,0.5,3000,20,2,1,8,1
1,6,5682,1400,1,44.9,40,3.7,4,2,0.4,6000,9,1,2,10,1
7,1,16606,1700,5,30.71,42,4.4,1,4,0.6,1500,32,3,3,8,1
5,0,21483,1800,4,40.26,40,4.7,3,1,0.5,8000,1,2,2,6,1
5,4,2169,1600,1,30.26,41,4.9,2,3,0.7,8000,5,2,1,10,0
4,2,1684,1200,3,39.48,49,4.7,2,1,0.4,5000,8,2,1,8,0
3,6,8505,1700,2,45.01,66,2.6,3,2,0.5,5000,9,2,1,6,0
7,3,1664,1300,3,35.72,39,4.4,1,1,0.5,1500,5,1,1,12,1
1,2,7595,1900,5,34.27,37,4,3,1,0.8,3000,7,1,1,8,0
7,5,19267,1900,5,37.16,30,4.7,2,1,0.3,5000,6,1,2,8,0
6,4,2182,1600,1,43.79,45,2.9,3,4,0.4,3000,26,1,1,12,1
6,5,2317,1400,3,33.16,32,4.7,3,2,0.8,3000,6,2,2,8,1
4,3,16597,1900,4,30.43,45,3.3,1,3,0.7,1500,6,1,1,12,0
1,3,4983,1400,3,44.34,39,3.2,1,1,0.8,6000,5,2,1,8,1
2,0,2043,1600,3,49.93,56,3.3,1,1,0.8,6000,5,1,1,10,0
4,5,16663,1700,3,48.79,55,2.8,1,3,0.7,5000,8,1,2,12,0
1,5,10741,1900,1,34.59,45,4.5,2,3,0.6,1500,4,1,2,10,0
4,5,10550,1700,1,38.54,52,4.3,2,4,0.5,8000,7,2,2,6,1
6,6,4561,1600,2,33.02,34,1.5,4,1,0.6,3000,38,3,3,8,1
6,4,4968,1500,3,42.75,42,1.6,1,2,0.7,3000,9,2,2,10,0
3,3,5130,1400,3,38.35,39,1.5,2,3,0.6,3000,8,2,1,6,0
4,3,2957,1500,3,46.69,59,1.8,2,1,0.8,5000,8,1,1,8,1
5,5,20909,1700,3,45.05,65,4.6,4,2,0.9,1500,5,2,1,10,1
5,3,12964,1800,5,48.46,63,2.2,2,2,0.4,6000,4,2,2,12,0
4,2,3444,1600,1,45.03,66,3.2,4,3,0.7,5000,40,1,3,10,1
4,2,18699,1800,2,49.71,70,3,1,2,0.7,8000,7,2,2,6,0
2,6,2177,1500,5,47.99,58,3.6,1,1,0.7,3000,4,1,2,12,0
5,4,10853,1900,5,43.65,49,5,2,1,0.9,8000,9,2,2,12,1
7,4,9834,1700,5,34.92,27,4.6,1,4,0.7,5000,22,2,2,6,1
1,4,4957,1800,4,46.05,66,4.9,4,3,0.8,5000,15,2,1,12,1
1,1,7650,1800,2,43.46,53,2,4,2,0.3,5000,5,2,1,12,1
5,2,21273,1900,2,41.36,53,1.4,3,3,0.4,3000,38,3,3,12,0
2,4,3334,1600,2,30.1,39,2.4,4,3,0.5,6000,35,3,3,6,1
5,1,12869,1900,2,47.04,55,2.1,4,3,0.9,3000,33,3,3,10,1
7,3,21507,1900,5,40.76,36,1,4,4,0.8,3000,34,3,3,10,1
1,2,17588,1800,4,42.48,42,3.1,2,3,0.6,6000,9,1,2,8,1
7,3,20187,1700,5,42.3,50,3.6,4,1,0.6,1500,15,1,2,6,1
4,5,21788,1800,3,47.61,60,1.9,3,2,0.9,8000,4,2,1,12,1
5,3,16580,1800,3,31.15,26,4.8,4,4,0.7,8000,34,3,3,12,1
4,1,4006,1400,2,37.87,37,1.1,3,2,0.3,6000,3,1,2,6,0
7,3,19737,1800,2,48.91,61,1.2,3,2,0.4,5000,7,1,2,12,1
1,4,7192,1900,1,30.98,45,2.8,2,3,0.7,3000,4,1,1,8,0
2,4,4045,1500,2,41.75,47,3.5,4,2,0.4,6000,5,1,1,8,1
4,0,3664,1400,5,33.57,37,4.3,2,2,0.7,6000,5,2,2,12,1
5,5,7364,1800,3,33.77,47,1.9,4,4,0.5,3000,23,2,1,8,1
2,0,3780,1500,1,31.42,31,4.1,1,4,0.5,3000,21,1,2,12,1
3,0,21659,1800,1,39.51,46,1.7,1,4,0.9,8000,20,1,2,10,1
7,1,6739,1800,2,38.67,39,2.2,3,2,0.4,3000,5,2,1,8,0
1,4,3960,1600,5,43.13,37,2.2,4,2,0.7,8000,4,1,2,10,1
7,3,18888,1900,1,31.89,46,4.8,1,2,0.3,1500,8,1,2,12,0
4,5,21292,1800,5,33.09,45,5,3,1,0.5,5000,3,2,1,8,1
1,6,17534,1700,2,42,38,1.9,4,3,0.7,8000,31,3,3,6,1
5,1,13404,1900,1,41.48,54,1.5,2,2,0.4,1500,7,2,2,12,0
7,6,12153,1900,1,48,64,2.5,2,3,0.3,3000,9,1,2,12,0
2,3,3704,1600,5,39.27,51,3.2,4,2,0.6,3000,8,2,2,6,1
3,5,1692,1300,2,49.2,62,3.6,4,3,0.7,6000,28,1,2,8,1
5,5,4311,1600,3,33.07,43,1.6,1,3,0.6,5000,4,2,1,8,0
2,4,1255,1100,4,31.57,49,4.7,1,2,0.7,6000,9,2,1,8,0
4,0,13918,1700,3,44.44,48,4.6,4,2,0.6,5000,8,1,1,8,1
4,4,8716,1900,2,40.71,51,3.1,3,3,0.6,6000,12,2,2,10,1
4,5,14247,1700,4,31.43,39,1.2,4,3,0.3,6000,19,2,2,12,1
6,1,2458,1600,3,49.27,57,1.2,1,4,0.4,3000,28,1,2,10,1
3,6,4710,1500,2,31.93,33,3.9,4,1,0.9,3000,39,3,3,10,1
3,6,4599,1400,1,42.33,46,2.4,4,2,0.8,1500,4,2,1,10,1
6,5,3190,1600,1,31.11,45,2.4,2,1,0.8,3000,3,2,2,6,0
7,2,10347,1800,5,42.43,36,3.3,2,4,0.5,5000,10,2,2,6,1
2,6,3571,1600,1,40.77,41,2.4,4,3,0.5,3000,19,1,1,12,1
1,1,7452,1900,3,45,67,3.5,3,4,0.6,3000,19,2,2,8,1
4,2,19981,1800,4,45.97,66,4.1,2,4,0.9,6000,4,1,2,12,1
4,6,11330,1700,3,45.09,66,2.9,4,4,0.7,5000,27,1,2,6,1
3,1,14051,1800,3,49.02,59,5,1,4,0.8,8000,30,3,3,6,1
1,4,5587,1500,5,38.89,53,4.6,4,3,0.7,6000,38,3,3,12,1
6,1,3430,1600,3,47.98,60,5,4,2,0.7,3000,4,2,1,8,1
6,2,4973,1500,4,46.69,65,3.4,2,2,0.7,3000,4,2,2,8,1
3,6,14617,1700,2,37.39,46,3.9,4,1,0.7,5000,19,2,1,12,1
1,2,19716,1700,3,34.98,40,4.8,4,4,0.8,6000,22,2,2,12,1
1,5,20172,1900,5,44.61,37,5,1,2,0.8,6000,6,1,2,8,0
5,4,10079,1800,5,31.05,50,4.5,1,2,0.6,6000,7,2,1,12,0
6,0,2369,1400,1,30.29,34,3.8,2,1,0.4,3000,3,1,2,10,0
3,2,19042,1800,2,46.42,56,3.8,1,3,0.4,6000,4,1,2,12,0
4,3,14859,1900,4,42.66,50,2.6,4,2,0.5,1500,5,1,2,8,1
4,0,20723,1900,2,38.33,52,2.8,2,3,0.5,8000,3,1,1,6,0
3,3,18728,1800,5,36.43,32,1,3,3,0.6,6000,27,2,2,8,0
6,2,2791,1600,1,41.75,39,1.9,1,2,0.4,3000,7,1,1,10,1
5,5,2945,1500,2,33.43,48,1.1,4,1,0.4,5000,18,1,1,10,1
6,3,4831,1600,3,49.02,65,1.8,3,4,0.9,3000,34,3,3,10,1
6,3,2601,1400,1,37.55,32,2.9,3,3,0.4,3000,19,1,2,8,1
4,1,19137,1900,5,42.86,53,3,2,2,0.9,8000,4,1,1,10,0
6,4,4972,1600,4,41.52,40,1.6,4,1,0.8,3000,31,3,3,8,1
1,0,14562,1800,3,45.56,66,1.7,3,3,0.3,6000,31,3,3,10,1
4,5,21128,1700,1,46.26,69,3.3,1,2,0.7,5000,10,1,2,8,0
2,1,2691,1400,3,45.99,65,3.1,1,3,0.6,1500,8,1,2,12,1
1,6,19016,1900,1,49.7,66,1,3,1,0.4,6000,5,2,2,10,1
6,0,4760,1600,5,31.2,28,2.4,3,3,0.5,3000,17,2,1,8,0
5,2,20140,1800,4,47.41,56,3.6,2,1,0.4,5000,9,1,2,8,1
1,0,21890,1900,4,31.13,28,4.8,3,3,0.5,1500,34,3,3,6,0
3,5,13919,1800,3,48.63,57,2.7,4,3,0.4,5000,20,1,1,10,1
6,2,3954,1500,3,49.53,59,3.9,2,2,0.3,3000,3,1,2,8,0
4,0,6649,1800,5,41.37,52,4.7,3,2,0.7,1500,4,1,2,10,0
4,1,2852,1400,5,46.72,60,1.4,3,1,0.3,1500,6,2,1,12,0
2,3,3868,1400,5,47.17,65,3,1,3,0.5,3000,10,2,1,10,0
6,3,4096,1600,2,45.29,56,2.8,4,1,0.4,3000,28,1,1,12,1
2,4,4808,1400,2,46.33,67,3.5,3,1,0.8,6000,6,2,1,10,0
1,5,9449,1700,3,37.49,49,2.4,2,3,0.4,6000,5,2,2,12,0
1,2,6837,1900,4,42.79,52,1.1,1,4,0.5,3000,24,2,1,8,1
1,5,16648,1700,3,30.91,44,4.1,2,3,0.7,8000,3,2,2,6,0
1,5,11695,1900,1,33.84,34,2.4,4,4,0.8,6000,21,2,2,10,1
5,3,10038,1900,5,44.89,52,1.7,1,3,0.6,8000,2,1,2,12,0
4,4,14160,1800,2,33.93,32,4.3,2,1,0.7,8000,3,1,1,10,0
2,1,2735,1400,1,41.95,49,1.5,2,4,0.7,1500,4,2,1,8,1
5,5,14495,1900,4,40.23,39,3.8,3,4,0.5,5000,26,1,2,6,1
2,6,3027,1600,2,35.43,36,3.5,4,2,0.3,6000,8,2,1,6,1
3,0,6107,1800,4,33.84,28,4.5,1,1,0.7,6000,1,2,1,6,0
3,3,18409,1800,5,34.77,38,4.1,3,3,0.5,6000,20,1,2,8,0
6,2,2011,1500,1,31.37,29,4.9,2,3,0.7,3000,6,2,2,10,1
2,3,5069,1600,3,35.07,26,3.8,3,2,0.6,1500,6,1,2,12,0
3,1,8816,1700,3,49.54,67,3.3,3,4,0.8,8000,23,1,2,6,1
6,2,3723,1500,1,40.85,40,2.4,1,3,0.4,3000,9,1,1,10,1
1,2,15004,1800,2,30.25,34,4.7,3,1,0.3,8000,9,2,2,8,1
6,2,2182,1600,4,48.57,70,1.9,1,1,0.5,3000,0,1,1,6,1
1,6,2539,1500,5,47.12,55,1.6,1,3,0.4,1500,1,1,1,6,0
4,3,18154,1900,2,44.57,40,2.2,1,3,0.6,8000,10,1,1,12,0
4,2,9851,1800,1,40.32,50,4.5,4,4,0.7,8000,36,3,3,6,1
3,5,21223,1700,5,30.15,43,3.3,4,3,0.4,8000,33,3,3,10,1
3,1,17860,1700,4,40.4,53,4.4,2,4,0.4,6000,9,2,1,8,1
4,6,2677,1400,3,41,42,5,4,4,0.6,8000,30,3,3,8,1
3,1,21665,1900,5,32.49,36,1.2,4,2,0.6,3000,7,2,2,10,1
7,6,5980,1400,5,49.95,61,1.1,2,1,0.3,5000,8,2,2,12,1
2,6,5239,1600,3,41.32,37,4.1,1,1,0.4,3000,9,2,1,6,0
5,1,13873,1900,4,42.66,42,2.2,4,3,0.3,8000,23,2,2,12,1
3,3,13005,1700,3,38.43,54,2,4,3,0.5,6000,38,3,3,8,1
1,2,21938,1700,5,30.28,41,1.1,3,2,0.8,8000,8,2,1,10,0
2,0,4796,1400,3,34.35,27,3.8,1,4,0.7,5000,27,2,1,6,1
3,2,21784,1800,2,42.13,51,3.1,1,4,0.3,5000,33,3,3,10,1
6,6,2628,1600,1,43.18,40,1.6,2,1,0.3,3000,4,1,1,12,0
2,3,5337,1600,4,47.25,66,1.9,4,2,0.8,3000,8,1,1,10,1
7,2,13377,1700,2,34.29,34,3.8,3,4,0.8,3000,17,2,2,6,1
3,6,18129,1700,2,43.85,39,4.6,1,1,0.4,8000,1,2,2,8,0
4,4,8935,1700,2,41.8,42,1.6,4,2,0.6,8000,8,1,1,10,1
1,2,2672,1600,2,31.15,41,2.8,1,3,0.7,6000,3,1,2,6,0
5,3,5886,1500,5,30.76,45,3.6,1,4,0.4,3000,20,1,1,10,1
5,0,19263,1700,2,37.39,29,3.7,4,4,0.7,6000,35,3,3,8,1
6,5,2669,1600,5,36.59,40,3,2,1,0.4,3000,10,2,1,8,0
5,0,19504,1700,5,30.16,29,1.4,3,1,0.7,8000,8,2,2,12,1
5,3,19942,1700,2,47.82,61,4.4,3,1,0.6,3000,8,1,2,12,0
1,2,5233,1900,5,41.34,46,2.7,4,3,0.4,3000,36,3,3,8,1
2,5,2951,1500,5,31.58,29,2.6,2,2,0.7,3000,3,1,1,10,0
6,3,3111,1500,5,45.45,66,4,4,3,0.5,3000,32,3,3,6,1
2,0,2386,1500,4,37.35,26,3.1,2,4,0.6,5000,4,2,1,12,1
5,0,15254,1900,2,49.37,65,2.2,4,2,0.3,5000,4,2,1,8,1
4,0,14725,1700,4,32.06,30,3.4,2,1,0.3,8000,4,1,1,10,0
3,4,12246,1800,1,40,40,4.4,2,2,0.4,8000,10,1,2,12,0
1,5,20111,1900,5,36.83,46,3.3,4,2,0.5,3000,9,1,2,8,1
5,1,9744,1900,4,40.59,49,3.7,4,4,0.7,3000,26,2,1,10,1
1,5,11481,1700,5,32.22,47,2.9,1,4,0.6,6000,24,2,2,12,1
7,1,5568,1500,4,35.62,29,3.6,4,2,0.5,3000,7,1,1,12,1
3,4,6697,1800,1,45.63,56,1.3,4,3,0.7,5000,26,1,2,8,1
7,6,8763,1700,1,42.97,54,4.4,2,2,0.8,3000,8,2,1,6,0
5,6,5518,1500,2,30.97,43,4.2,1,1,0.7,1500,5,1,2,10,1
3,5,13128,1800,5,31.7,28,1.5,3,4,0.3,6000,22,2,2,8,1
3,4,11177,1900,5,41.33,44,4.7,4,4,0.5,6000,38,3,3,10,1
5,6,6607,1700,1,37.32,30,4.4,4,2,0.8,3000,3,2,1,6,1
1,3,4594,1500,3,43.06,37,3.6,2,1,0.7,6000,4,1,1,10,1
3,0,2038,1400,2,40.73,54,2,3,1,0.7,1500,7,2,2,10,1
5,2,19139,1900,3,46.13,56,2.6,3,4,0.5,3000,15,1,2,8,1
3,6,20741,1700,4,49.74,60,4.2,1,1,0.5,6000,3,2,2,8,0
6,5,4253,1400,4,40.29,47,2.9,1,1,0.7,3000,5,2,1,8,1
2,5,2208,1600,2,32.95,49,3.8,4,2,0.7,3000,3,2,2,10,1
3,4,10416,1900,3,35.67,33,4.9,2,2,0.7,6000,3,2,1,12,0
6,6,3514,1600,2,31.45,43,1.4,2,2,0.4,3000,6,1,1,6,1
6,5,2174,1400,1,37.35,29,4,3,2,0.4,3000,5,2,2,6,1
7,0,15956,1800,5,32.17,41,2.6,1,1,0.6,1500,9,1,2,10,0
4,4,14688,1800,2,48.69,68,4.2,2,1,0.5,8000,4,1,2,6,0
2,1,2025,1500,3,40.35,37,4.1,1,2,0.5,3000,3,2,1,12,0
4,5,4570,1500,1,43.28,47,2,3,4,0.4,5000,34,3,3,12,1
1,4,11877,1800,1,30.63,39,1.7,3,2,0.6,5000,8,1,1,12,0
6,4,3244,1500,4,34.96,50,4.6,2,2,0.6,3000,6,2,2,8,0
1,4,14376,1800,5,40.29,49,4.2,1,4,0.5,6000,34,3,3,12,1
4,5,19133,1800,2,32.1,38,1.3,4,1,0.6,3000,27,1,1,6,1
1,2,6155,1800,5,39.96,53,2.2,4,2,0.7,5000,4,1,1,12,1
7,5,4167,1500,2,49.62,69,2.2,2,3,0.6,3000,9,2,2,12,1
3,5,15625,1900,4,38.61,47,2.1,4,3,0.6,3000,17,2,1,10,1
3,2,3998,1400,5,44.27,42,3.7,1,1,0.7,5000,5,2,1,8,0
5,2,2558,1600,3,32.65,29,1.2,2,3,0.4,3000,7,2,2,12,0
7,3,18375,1700,1,46.69,67,4.1,1,2,0.5,3000,4,1,2,10,1
7,6,11518,1800,1,30.52,38,2.9,2,3,0.6,1500,3,1,1,12,0
3,2,20388,1900,3,45.77,55,4.4,3,4,0.8,5000,23,2,1,8,1
6,5,2603,1500,3,35.45,47,2.8,1,1,0.3,3000,9,2,1,8,0
1,1,16377,1900,3,47.51,70,1.8,1,2,0.7,1500,4,2,2,8,1
7,0,5976,1400,2,31.33,46,4.3,1,1,0.4,3000,2,2,1,10,1
7,0,2563,1500,5,37.35,37,2.5,1,3,0.4,3000,10,2,2,8,0
3,5,12804,1700,5,43.12,41,4.3,2,4,0.7,5000,4,1,2,12,1
4,5,5215,1400,2,47.07,59,3.3,4,1,0.9,6000,33,3,3,8,1
7,6,4830,1600,1,43.44,52,2.5,3,1,0.9,5000,3,2,1,12,0
1,2,15271,1900,5,43.68,48,1.2,4,2,0.5,8000,9,2,2,10,1
1,3,10805,1800,1,48.93,59,4,1,2,0.7,6000,4,1,2,8,1
6,0,3180,1400,2,48.1,66,2.1,4,4,0.5,3000,32,3,3,8,1
7,1,4236,1400,1,39.32,38,4.5,4,1,0.7,3000,16,1,2,6,1
1,4,11739,1800,1,47.35,64,2.2,2,2,0.7,5000,3,1,2,12,1
3,6,8774,1800,1,35.4,27,1.5,3,4,0.9,1500,35,3,3,6,1
7,5,18417,1700,2,35.3,34,2.8,1,1,0.5,5000,3,1,2,10,1
3,4,9767,1800,5,31.78,26,3.7,2,2,0.4,3000,10,1,1,8,0
4,5,11708,1800,2,46.11,61,2.2,3,3,0.7,8000,48,2,3,6,1
7,3,7276,1700,5,47.24,55,1.8,1,2,0.5,3000,4,1,2,8,0
6,4,2132,1500,3,39.19,42,2,1,2,0.6,3000,4,2,2,6,0
6,0,3832,1500,2,35.98,38,4.1,3,2,0.5,3000,9,2,1,12,1
7,1,7309,1800,5,47.9,62,1.2,3,4,0.7,5000,37,3,3,12,1
6,3,4205,1600,2,49.69,61,4.8,1,4,0.6,3000,36,3,3,12,1
7,4,4572,1600,1,48.98,70,2.2,3,3,0.7,1500,11,1,2,8,0
5,1,15190,1700,1,35.87,40,2.5,2,4,0.4,5000,3,1,2,12,1
4,3,2962,1400,4,37.57,48,1.6,3,2,0.3,8000,4,2,2,8,0
5,5,14361,1900,1,49.89,64,2,2,1,0.8,6000,5,1,1,6,1
3,4,6202,1800,5,37.71,44,4,4,2,0.8,1500,8,1,1,8,1
7,4,5987,1400,4,36.41,46,5,3,2,0.5,3000,9,1,1,12,0
5,1,19617,1800,5,31.05,30,2.9,1,4,0.6,6000,36,3,3,12,1
1,3,7651,1800,5,34.37,34,1.7,3,4,0.3,6000,31,3,3,12,1
3,5,9016,1900,5,36.02,46,1.7,2,1,0.8,8000,8,1,2,12,0
1,0,2856,1400,3,48.54,60,2.2,4,4,0.4,8000,16,2,1,8,1
4,4,8837,1900,3,39.96,41,4,4,3,0.5,6000,30,3,3,10,1
5,5,10194,1700,4,48.69,67,4.3,1,4,0.5,8000,40,3,1,10,1
4,5,14129,1700,4,36.14,36,4.1,1,2,0.4,8000,10,1,2,6,1
3,6,1523,1300,5,45.07,61,1.6,3,1,0.8,1500,9,2,1,12,0
5,3,20731,1900,1,35.82,50,2.2,3,3,0.3,1500,23,2,2,10,1
3,0,8908,1800,3,47.73,55,3.3,4,2,0.8,1500,4,1,1,10,1
1,5,5711,1900,5,33.12,40,1.4,3,1,0.7,3000,5,1,2,8,1
3,3,14504,1700,1,35.84,25,2.3,1,1,0.8,5000,4,1,1,8,1
6,1,2346,1500,2,43.44,36,4.8,2,3,0.5,3000,7,2,2,12,0
3,5,17679,1900,5,47.09,55,1,4,3,0.6,1500,29,1,2,10,1
6,2,4108,1400,2,42.18,54,3.1,1,2,0.4,3000,8,2,1,10,1
3,5,18833,1800,4,42.47,52,2.9,3,4,0.6,5000,38,3,3,8,1
1,2,14571,1800,3,49.94,61,2.5,2,2,0.4,5000,3,1,1,12,0
6,0,3461,1600,2,32.35,29,1,4,1,0.8,3000,38,3,3,6,1
1,1,8755,1700,4,31.5,28,4.3,1,1,0.4,1500,4,1,1,6,0
1,4,21274,1900,2,46.15,64,3.8,3,4,0.5,3000,22,2,2,8,1
4,3,19191,1900,4,46.3,59,3.2,3,4,0.5,8000,15,1,2,6,1
4,3,9437,1800,1,38.12,39,3,3,3,0.7,1500,14,2,1,6,0
5,5,5586,1600,1,47.47,67,2.5,2,3,0.8,3000,5,1,2,8,0
4,3,8626,1900,5,35.24,49,1.5,3,3,0.9,8000,32,3,3,10,1
